,application_id,amount,duration_in_days,check_field_1,check_field_2,check_field_3,earned,spendings,prev_amount,start_date,finish_date
33,18575,1600,17.0,False,False,True,18000,5700,1800,2017-10-08,2018-11-16
34,11537,1000,39.0,True,True,True,4500,4300,700,2017-12-31,2018-07-23
35,80374,1300,15.0,True,False,False,9500,3700,2100,2017-09-10,2018-03-10
36,86761,3200,9.0,False,True,True,7000,13700,2500,2017-08-15,2018-08-19
37,88182,1800,15.0,False,False,False,10500,10900,3300,2017-12-20,2018-08-16
38,82345,1800,39.0,True,True,False,13000,12700,3300,2017-08-06,2018-10-24
39,88101,1100,45.0,True,False,False,9000,15700,1600,2017-02-10,2018-03-12
40,64505,600,38.0,True,False,False,13500,17300,2700,2017-06-11,2018-04-20
41,44046,1900,6.0,True,True,False,18000,6900,1800,2017-10-15,2018-06-01
42,31037,3000,27.0,True,True,False,13000,12700,2400,2017-09-21,2018-09-08
43,37738,1700,32.0,False,True,False,17500,6700,3300,2017-03-09,2018-10-26
44,99901,1600,15.0,False,True,True,4000,1100,3400,2017-08-06,2018-06-09
45,49745,3200,9.0,False,True,True,16000,15500,3400,2017-04-12,2018-10-15
46,66438,3300,34.0,False,True,True,14000,16300,1800,2017-03-01,2018-07-05
47,33517,2900,1.0,True,True,False,17000,10500,1200,2017-08-08,2018-04-05
48,76841,2400,41.0,True,True,False,14500,10700,1500,2017-03-05,2018-06-05
49,97407,1900,43.0,False,True,False,9000,4100,2900,2017-02-11,2018-09-06
50,49489,2300,43.0,False,True,False,15000,12700,2500,2017-02-10,2018-06-10
51,18174,2600,16.0,False,False,True,8000,5500,2400,2017-11-30,2018-02-14
52,48475,1800,4.0,False,True,False,13000,10900,2200,2017-06-24,2018-08-01
53,80599,2800,13.0,True,True,True,13500,11900,3300,2017-09-17,2018-11-11
54,79037,2800,43.0,True,False,False,12000,17100,1200,2017-01-26,2018-04-14
55,34405,3300,12.0,False,False,True,14000,10900,2900,2017-06-20,2018-02-24
56,56243,2100,31.0,True,True,True,18500,4700,2000,2017-10-08,2018-05-29
57,27771,500,14.0,False,False,False,13500,8500,1100,2017-06-06,2018-05-01
58,46559,1800,33.0,True,False,False,9500,9700,1500,2017-09-16,2018-12-08
59,71821,2000,34.0,True,False,True,12000,4700,1800,2017-09-22,2018-06-18
60,84236,1400,24.0,False,True,True,17000,1300,3300,2017-12-22,2018-01-03
61,56926,2700,23.0,False,False,False,3500,500,3100,2017-11-29,2018-05-06
62,35649,1600,16.0,False,True,True,17000,6700,2700,2017-07-24,2018-04-27
63,15126,2800,6.0,False,False,True,17000,16300,2700,2017-03-14,2018-09-15
64,91306,900,13.0,False,False,True,17000,12100,3000,2017-04-26,2018-07-25
65,35518,1500,35.0,False,False,False,14500,12300,1200,2017-02-24,2018-10-19
66,39913,1500,26.0,False,False,True,4000,1300,3100,2017-01-16,2018-05-06
67,46100,2200,2.0,True,False,False,17500,3300,1100,2017-12-10,2018-02-12
68,50523,3100,43.0,True,False,True,18500,11900,2700,2017-01-15,2018-03-04
69,30698,800,42.0,False,True,False,3500,17700,600,2017-01-23,2018-02-23
70,51203,2200,28.0,True,False,False,16500,12700,3000,2017-08-08,2018-07-09
71,53173,2300,11.0,False,True,True,17000,2700,1600,2017-01-14,2018-11-22
72,52782,700,16.0,True,False,True,8500,4300,3200,2017-01-25,2018-10-30
73,90393,1600,39.0,True,False,True,11000,11900,1000,2017-08-05,2018-02-22
74,44766,3400,40.0,True,False,False,7000,500,900,2017-01-31,2018-10-17
75,27058,1500,10.0,False,True,True,16500,3700,2500,2017-07-18,2018-02-15
76,53068,2500,24.0,False,False,True,15500,1900,2500,2017-07-28,2018-02-06
77,36408,1000,27.0,True,True,False,10500,5700,1400,2017-09-10,2018-08-01
78,52824,1000,42.0,False,False,False,4000,2700,1100,2017-01-29,2018-06-21
79,99468,1000,9.0,False,False,True,17500,17500,500,2017-10-17,2018-08-25
80,78037,1600,2.0,True,True,False,10000,1900,600,2017-03-17,2018-09-18
81,40671,3100,28.0,True,True,True,3000,8300,2100,2017-06-06,2018-03-11
82,20534,2700,32.0,True,True,False,14500,14900,1700,2017-09-02,2018-07-07
83,31624,2800,15.0,False,False,False,8500,11300,2300,2017-03-16,2018-03-01
84,51798,3200,20.0,True,False,True,16500,2700,2900,2017-09-17,2018-08-21
85,74009,3100,44.0,False,True,False,6000,15300,900,2017-03-17,2018-05-24
86,56397,900,15.0,False,True,True,19000,9500,2300,2017-04-08,2018-01-23
87,92149,2600,8.0,True,True,False,11500,11700,700,2017-08-30,2018-12-28
88,78582,800,15.0,False,False,False,5500,14100,2800,2017-02-23,2018-03-24
89,81110,1000,41.0,False,True,True,16500,3900,1300,2017-03-15,2018-09-29
90,99124,2600,34.0,False,False,True,11000,4900,2800,2017-05-22,2018-11-07
91,89170,2000,16.0,False,True,False,6500,17300,1400,2017-09-03,2018-03-26
92,68241,2700,43.0,True,False,True,8500,8700,600,2017-08-17,2018-04-14
93,38867,800,18.0,True,True,True,7000,1500,2900,2017-07-29,2018-05-16
94,86753,700,1.0,False,True,True,7000,12500,600,2017-07-02,2018-02-12
95,28970,1900,30.0,False,False,True,3500,700,1400,2017-04-30,2018-08-24
96,88729,2700,33.0,False,False,True,6500,4900,2500,2017-04-21,2018-07-18
97,15310,3000,13.0,True,False,True,10500,6500,600,2017-11-01,2018-11-08
98,83810,1200,2.0,False,True,True,16000,1300,2400,2017-09-02,2018-09-23
99,90640,500,2.0,True,False,False,15500,15300,2200,2017-05-29,2018-01-27
100,52611,1400,37.0,True,False,True,6500,17900,2500,2017-08-14,2018-01-07
101,83101,3300,38.0,False,True,False,16500,12900,800,2017-11-06,2018-04-09
102,27623,1300,27.0,True,True,False,14500,6700,2200,2017-11-15,2018-09-29
103,92681,700,24.0,True,True,True,17000,2300,3200,2017-01-22,2018-11-15
104,13299,600,1.0,True,False,False,5000,2300,1400,2017-09-30,2018-07-09
105,65226,2700,21.0,True,False,False,8500,12100,3200,2017-09-14,2018-11-05
106,41331,3200,22.0,True,True,True,15000,15900,1100,2017-11-01,2018-12-24
107,99769,900,32.0,False,False,True,13500,15700,1500,2017-08-16,2018-05-02
108,85528,1700,34.0,True,True,True,11000,5900,3100,2017-07-20,2018-01-27
109,19629,1200,18.0,False,True,True,16000,12700,1400,2017-08-17,2018-05-05
110,71673,3000,12.0,False,False,False,12500,16900,900,2017-02-10,2018-01-11
111,84610,1300,7.0,True,True,True,18500,9500,800,2017-10-21,2018-12-07
112,44472,2900,18.0,True,False,False,10500,8100,2100,2017-10-21,2018-08-03
113,48219,1500,20.0,False,False,False,11000,13700,1800,2017-05-18,2018-01-19
114,99343,3100,24.0,True,False,True,7500,6300,2400,2017-02-02,2018-09-22
115,14410,2400,37.0,False,False,False,5500,3900,3300,2017-04-20,2018-07-17
116,97032,2100,2.0,False,False,True,19500,2900,1100,2017-10-10,2018-05-19
117,34172,1400,24.0,False,True,False,14500,2900,2700,2017-09-26,2018-06-21
118,36772,600,1.0,False,False,False,4500,17700,2400,2017-05-12,2018-04-21
119,61450,2300,12.0,False,False,True,14000,12900,600,2017-03-30,2018-01-05
120,83572,3000,30.0,False,False,True,17500,11300,2900,2017-11-10,2018-08-13
121,98104,2300,17.0,True,False,True,3000,14300,2300,2017-03-27,2018-06-19
122,38687,700,14.0,True,False,False,16500,3500,1900,2017-10-14,2018-08-09
123,78474,2600,19.0,False,False,True,12000,2900,900,2017-04-23,2018-06-09
124,83076,3100,10.0,False,True,False,10500,9100,1200,2017-11-08,2018-04-07
125,22003,1000,32.0,True,True,False,5000,6700,2200,2017-10-04,2018-06-11
126,64657,1900,33.0,False,False,True,4000,15300,700,2017-04-13,2018-03-26
127,52983,2800,29.0,True,False,False,16500,13700,3100,2017-06-08,2018-11-13
128,73416,2800,13.0,True,True,True,11500,9500,500,2017-08-25,2018-07-26
129,26023,3000,21.0,True,True,False,12500,9100,1100,2017-01-28,2018-01-31
130,31130,1800,37.0,True,False,False,6000,17900,2800,2017-09-10,2018-01-17
131,61709,1900,39.0,False,True,True,19500,16500,3100,2017-11-09,2018-05-23
132,45462,500,45.0,True,True,True,8000,10700,1800,2017-01-14,2018-03-06
133,43362,1300,29.0,False,False,False,4000,16500,1200,2017-06-01,2018-06-10
134,36881,1800,44.0,True,True,True,10500,5900,800,2017-05-08,2018-05-05
135,27226,1700,29.0,False,False,True,14000,5500,900,2017-05-12,2018-08-07
136,69940,2900,5.0,False,False,True,4500,13100,800,2017-09-01,2018-03-15
137,93102,3300,35.0,False,False,True,8500,6300,800,2017-06-17,2018-01-17
138,41210,1200,30.0,True,True,False,6000,11500,2300,2017-04-30,2018-07-05
139,34688,700,11.0,True,True,False,13500,9500,2500,2017-08-13,2018-08-11
140,42669,1800,2.0,False,False,False,14500,2700,2600,2017-07-12,2018-03-13
141,24567,2600,30.0,True,False,True,19500,1300,500,2017-02-16,2018-10-29
142,80982,3000,2.0,False,False,True,11000,7500,2100,2017-03-21,2018-06-19
143,98047,1900,35.0,False,False,False,5500,14300,2800,2017-10-01,2018-07-25
144,99368,1800,21.0,False,False,False,8000,13100,3300,2017-09-08,2018-01-29
145,52030,2000,13.0,False,False,False,16000,6100,2500,2017-04-12,2018-11-04
146,35799,3200,39.0,False,False,True,18000,3700,1300,2017-08-23,2018-05-07
147,26254,1000,17.0,True,False,True,11000,900,1800,2017-12-10,2018-12-23
148,39232,3000,3.0,False,False,True,19500,5700,2600,2017-09-26,2018-08-24
149,99004,2400,33.0,True,True,True,8500,10700,2000,2017-03-12,2018-06-05
150,42989,1800,39.0,True,False,False,11000,12500,2100,2017-08-25,2018-10-15
151,46701,2400,16.0,True,True,True,18000,17900,1200,2017-01-06,2018-07-24
152,58128,600,36.0,True,True,False,6500,5300,2700,2017-01-17,2018-09-25
153,83121,700,24.0,False,False,True,8000,5900,1900,2017-12-20,2018-10-03
154,62859,2400,30.0,False,False,False,12500,15500,1200,2017-01-24,2018-07-04
155,26439,600,30.0,True,False,True,17500,8500,3300,2017-02-08,2018-08-27
156,66298,500,24.0,True,False,False,3000,14700,1400,2017-08-09,2018-03-04
157,88403,3200,44.0,True,True,False,5000,1700,2500,2017-07-03,2018-10-17
158,36597,500,12.0,True,True,False,5000,11900,1600,2017-08-20,2018-11-14
159,40844,1100,28.0,False,True,False,5500,12300,1000,2017-06-11,2018-02-19
160,19421,2900,11.0,False,True,True,13500,3900,700,2017-04-23,2018-07-21
161,92530,1900,22.0,True,False,False,19000,16900,700,2017-06-13,2018-02-20
162,17166,600,33.0,True,False,True,5000,12300,2900,2017-09-11,2018-09-15
163,48355,2100,33.0,True,False,True,12000,9900,1000,2017-06-11,2018-11-27
164,91209,600,35.0,True,False,True,4500,15100,2600,2017-10-12,2018-07-14
165,95474,2500,26.0,True,True,True,6500,8300,2300,2017-10-03,2018-08-15
166,31549,600,4.0,True,False,True,17000,13500,2800,2017-09-22,2018-08-04
167,91890,1900,9.0,False,True,False,11000,2300,1100,2017-03-02,2018-01-15
168,44127,2100,44.0,True,False,False,6000,15900,800,2017-03-12,2018-08-12
169,49112,1700,42.0,False,True,True,5000,16900,2600,2017-08-18,2018-04-23
170,76551,1200,30.0,False,True,False,10500,17300,2000,2017-07-21,2018-03-25
171,11806,600,33.0,False,True,True,5500,15100,2200,2017-11-21,2018-10-26
172,55867,700,2.0,False,False,True,13000,15900,2200,2017-02-06,2018-10-13
173,43392,1000,32.0,True,False,True,15000,8300,500,2017-12-09,2018-10-11
174,73982,1800,44.0,False,True,False,13500,14900,1000,2017-04-02,2018-04-30
175,94603,1100,22.0,True,True,False,13500,3700,2300,2017-10-29,2018-12-26
176,36186,1200,43.0,True,True,False,7500,6300,2600,2017-08-05,2018-01-30
177,53598,1400,12.0,False,True,True,19500,5100,3300,2017-10-08,2018-01-09
178,38053,1600,30.0,True,False,True,7000,17100,2400,2017-08-07,2018-07-27
179,80154,1800,24.0,True,False,True,15500,12700,3000,2017-06-01,2018-01-14
180,86930,1900,32.0,False,True,False,15500,8700,2100,2017-05-19,2018-04-22
181,61023,600,19.0,True,False,False,10500,6100,3000,2017-09-28,2018-06-05
182,72016,500,6.0,True,True,True,4500,12700,2100,2017-02-18,2018-12-05
183,27231,3300,26.0,True,True,False,4500,12700,800,2017-11-23,2018-05-05
184,21750,3300,34.0,False,False,False,15500,16500,700,2017-02-07,2018-01-11
185,31867,2900,24.0,False,False,True,6500,15100,1800,2017-05-18,2018-10-23
186,24685,1500,45.0,True,True,True,4500,9500,1600,2017-08-04,2018-11-09
187,87427,2500,43.0,False,True,False,6500,2700,3300,2017-09-28,2018-11-15
188,98087,2100,11.0,False,False,False,17500,3700,3100,2017-03-26,2018-11-11
189,51136,2600,16.0,False,False,True,4000,4900,3400,2017-10-21,2018-09-06
190,89690,3100,25.0,True,False,True,6500,3100,1300,2017-06-29,2018-12-21
191,45426,1300,17.0,False,False,False,4000,13700,2600,2017-05-04,2018-05-09
192,82190,2600,7.0,False,False,False,10500,14900,900,2017-10-24,2018-07-10
193,43936,600,17.0,True,False,True,11000,7900,2500,2017-02-17,2018-03-09
194,84960,3000,5.0,False,False,True,5500,15300,2000,2017-07-26,2018-01-13
195,15164,1900,10.0,False,False,False,13000,14100,1200,2017-06-19,2018-01-10
196,31541,1100,31.0,False,True,False,5500,3500,1700,2017-11-27,2018-03-16
197,71053,1900,31.0,True,False,False,16500,9300,2600,2017-05-01,2018-06-25
198,93818,3400,10.0,True,True,True,9000,6900,1600,2017-05-18,2018-06-17
199,59609,900,13.0,True,False,False,3000,5900,1000,2017-11-04,2018-08-13
200,40675,600,20.0,True,True,False,6500,16500,1200,2017-05-17,2018-04-03
201,26609,1300,7.0,False,True,True,7500,14700,1300,2017-09-17,2018-12-31
202,35886,2900,6.0,False,True,True,3000,17900,3000,2017-09-26,2018-03-31
203,33251,1800,26.0,False,True,True,6500,15900,3300,2017-07-06,2018-03-31
204,98488,2000,40.0,False,False,False,6000,11100,1300,2017-03-04,2018-06-04
205,98887,800,40.0,True,True,False,16500,17900,2300,2017-08-29,2018-01-18
206,37372,2700,44.0,True,False,True,13000,17100,2600,2017-04-07,2018-05-30
207,64365,1300,36.0,False,False,False,6500,6300,2800,2017-05-19,2018-11-12
208,52473,700,10.0,True,True,False,3000,5700,2300,2017-09-24,2018-02-17
209,83218,1100,44.0,False,False,False,5000,17900,1200,2017-03-25,2018-02-12
210,55344,1200,29.0,False,True,True,14500,14100,3300,2017-02-11,2018-11-09
211,63554,3300,8.0,False,False,True,11000,9700,500,2017-01-06,2018-02-10
212,62388,2700,32.0,False,True,False,11500,3300,1900,2017-09-10,2018-05-15
213,90922,1700,19.0,True,True,True,10000,4100,2800,2017-02-01,2018-11-22
214,12838,2100,8.0,False,True,False,5500,4900,1100,2017-01-13,2018-09-12
215,59828,2600,9.0,True,False,True,8500,8300,2600,2017-03-27,2018-01-26
216,31595,1300,27.0,True,True,False,4500,13500,1800,2017-07-18,2018-03-08
217,34197,2100,40.0,False,True,True,19000,3300,700,2017-09-05,2018-04-02
218,16382,2700,3.0,False,True,False,9500,10300,2100,2017-01-05,2018-06-21
219,79259,3300,41.0,True,True,False,4500,5900,2400,2017-09-21,2018-05-11
220,66204,2400,26.0,True,True,True,18500,7900,1200,2017-08-24,2018-02-07
221,11151,1600,41.0,False,False,True,9500,14300,3300,2017-01-03,2018-01-10
222,12488,2500,9.0,False,True,True,13500,1700,2700,2017-08-05,2018-05-28
223,98938,1800,38.0,False,False,True,4000,11100,2900,2017-04-25,2018-04-04
224,40044,3300,1.0,False,False,True,17000,2100,1100,2017-04-22,2018-07-06
225,18837,3300,33.0,False,True,False,16500,4100,900,2017-07-03,2018-08-02
226,47824,2900,20.0,True,True,True,7500,15500,1400,2017-10-04,2018-11-20
227,28464,1200,9.0,True,True,False,9500,11300,3300,2017-04-06,2018-08-02
228,49184,1600,45.0,True,False,True,14000,500,3400,2017-11-07,2018-05-14
229,39347,1100,10.0,True,True,True,17000,7500,3400,2017-02-04,2018-02-12
230,96084,2300,22.0,False,True,True,7500,11500,3300,2017-11-29,2019-01-01
231,16355,700,6.0,True,True,False,5000,500,900,2017-10-09,2018-12-31
232,11020,3000,26.0,False,True,False,9000,11500,2000,2017-12-09,2018-02-26
233,55204,1800,29.0,True,False,False,5500,500,3000,2017-11-03,2018-02-03
234,22524,2700,38.0,True,True,True,17500,11300,2600,2017-05-01,2018-11-08
235,59799,2400,40.0,False,True,True,4000,1500,2400,2017-05-24,2018-09-03
236,21822,1700,44.0,True,False,False,16500,8100,1000,2017-02-02,2018-10-12
237,82742,2500,35.0,True,True,False,17500,11900,1500,2017-09-01,2018-02-02
238,98858,800,44.0,True,False,False,5500,11700,700,2017-01-31,2018-02-02
239,17409,3000,22.0,True,True,False,15500,11300,3200,2017-11-30,2018-01-10
240,73900,900,35.0,False,True,True,17500,9100,700,2017-10-23,2018-10-11
241,86679,1200,36.0,True,True,True,16500,6100,600,2017-02-23,2018-06-25
242,77909,1900,44.0,False,True,True,18500,10700,700,2017-05-17,2018-11-08
243,58275,3200,19.0,False,True,True,13500,10900,2400,2017-05-07,2018-02-22
244,59044,2800,29.0,True,False,True,18000,16900,2800,2017-10-10,2018-04-27
245,51117,600,10.0,True,False,False,18500,9300,2200,2017-02-08,2018-06-27
246,89066,1200,12.0,True,False,False,8000,7900,1700,2017-09-09,2018-01-12
247,35709,1400,22.0,False,True,False,18500,14300,3100,2017-07-18,2018-11-28
248,28454,1100,26.0,False,True,False,3500,9500,1300,2017-07-15,2018-08-21
249,81711,2200,17.0,False,True,False,16500,700,1600,2017-01-06,2018-12-27
250,42466,3000,1.0,True,True,False,6500,13700,700,2017-02-01,2018-01-13
251,15187,2500,21.0,True,False,True,12000,8100,1100,2017-06-13,2018-03-31
252,69714,3200,30.0,False,False,True,19000,15900,500,2017-11-20,2018-01-19
253,96744,900,21.0,False,False,True,8500,1900,1100,2017-08-13,2018-02-23
254,52154,2900,3.0,True,False,True,6500,14500,2100,2017-11-13,2018-12-21
255,32622,2500,28.0,False,False,False,13000,4300,700,2017-09-19,2018-11-28
256,24504,900,10.0,True,True,False,5500,9900,1000,2017-12-10,2018-06-03
257,48345,2600,6.0,True,False,False,11000,6100,2500,2018-01-01,2018-09-03
258,26427,1300,38.0,False,True,False,4000,3700,3400,2017-09-05,2018-06-12
259,57904,1500,45.0,True,True,True,11500,4300,700,2017-09-21,2018-07-15
260,59443,1500,1.0,False,True,False,17000,17100,500,2017-09-23,2018-09-04
261,71788,1700,35.0,True,False,False,13500,16100,700,2017-06-24,2018-06-09
262,59846,1700,36.0,False,False,False,9500,7300,3400,2017-07-01,2018-12-24
263,51883,800,26.0,False,False,True,14500,7300,3100,2017-01-02,2018-01-22
264,37671,1500,24.0,True,True,True,16500,700,500,2017-06-05,2018-04-21
265,39702,2500,26.0,False,False,False,5500,14700,700,2017-03-14,2018-12-28
266,30252,2200,2.0,True,False,True,19500,17900,2100,2017-11-19,2018-01-30
267,65802,2200,6.0,False,False,True,5000,1300,800,2017-03-26,2018-08-31
268,95762,3100,10.0,True,False,False,19500,7700,2500,2017-05-13,2018-09-15
269,69752,900,1.0,False,True,False,14000,9700,2600,2017-01-24,2018-01-21
270,10539,2200,17.0,True,True,True,3500,5900,2100,2017-04-03,2018-07-19
271,56201,2200,9.0,True,True,True,3500,11100,2100,2017-06-19,2018-07-03
272,38940,1200,6.0,False,False,True,10000,17700,1700,2017-09-22,2018-01-17
273,34304,2400,35.0,False,True,True,16000,9700,1900,2017-10-04,2018-05-05
274,42281,1800,5.0,True,False,False,5500,14900,2000,2017-02-03,2018-01-18
275,73076,900,42.0,False,True,True,8500,16700,2300,2017-09-18,2018-03-27
276,73757,3400,14.0,False,False,False,19500,14300,2300,2017-09-18,2018-12-09
277,85905,1600,30.0,True,False,False,12500,7100,3000,2017-06-04,2018-09-22
278,22684,1500,36.0,False,False,False,3000,700,1900,2017-12-19,2018-10-25
279,96917,1600,44.0,True,True,True,18500,15100,800,2017-06-15,2018-06-20
280,24581,3200,6.0,False,False,True,18000,3500,600,2017-08-03,2018-12-26
281,12966,1100,29.0,True,False,False,3000,7500,3000,2017-06-12,2018-03-16
282,87264,3400,8.0,False,False,True,16000,1900,2600,2017-10-02,2018-01-14
283,48742,1900,42.0,False,True,True,9000,7500,2100,2017-08-11,2018-06-22
284,70238,2000,12.0,False,False,False,10500,1500,3400,2017-08-11,2018-10-02
285,56052,2300,36.0,True,True,False,16500,7700,2600,2017-01-21,2018-07-17
286,58634,2700,27.0,True,False,False,16000,4500,1700,2017-11-09,2018-09-13
287,11246,1400,33.0,True,False,False,16000,9100,3300,2017-01-17,2018-02-05
288,55642,1800,36.0,True,False,False,14500,4900,500,2017-07-19,2018-12-13
289,19426,3000,33.0,True,False,False,16000,10100,2100,2017-12-20,2018-05-31
290,14944,500,27.0,False,False,False,14500,2900,3000,2017-08-17,2018-09-16
291,81708,1700,20.0,True,True,True,8000,8300,2600,2017-09-16,2018-04-21
292,97755,1800,17.0,True,False,True,10000,10300,3200,2017-02-21,2018-04-26
293,49156,900,14.0,False,True,True,18500,4500,1400,2017-10-30,2018-06-24
294,51026,2100,39.0,False,False,True,9500,16900,700,2017-09-15,2018-05-22
295,29289,1200,18.0,False,True,True,16500,14700,3000,2017-10-08,2018-12-02
296,75558,900,21.0,True,False,True,9000,6100,3400,2017-08-14,2018-08-19
297,32638,2200,43.0,True,True,False,12000,5900,2100,2017-02-26,2018-11-10
298,26063,1700,5.0,True,True,False,10500,7700,1500,2017-06-10,2018-04-14
299,90796,2500,7.0,True,True,True,19500,3900,1200,2017-11-07,2018-10-08
300,83291,1400,31.0,False,True,True,14000,3700,1200,2017-01-11,2018-12-12
301,65925,3300,25.0,False,False,True,12500,3300,1700,2017-04-20,2018-06-04
302,76579,2400,41.0,False,True,True,12000,16700,500,2017-04-11,2018-01-05
303,20101,1700,22.0,False,False,False,17500,16300,1500,2017-11-07,2018-08-22
304,55451,800,36.0,True,True,True,18000,6100,3400,2017-07-29,2018-06-17
305,95346,2600,5.0,False,False,True,13000,3500,1300,2017-12-02,2018-11-04
306,70746,1900,33.0,False,True,False,13000,700,2400,2017-12-10,2018-12-27
307,42051,1900,16.0,True,False,False,4000,2100,3000,2017-04-29,2018-10-11
308,33744,3000,44.0,True,True,False,3000,13700,1600,2017-07-01,2018-10-15
309,71322,800,4.0,True,True,True,3000,13900,1500,2017-11-18,2018-01-16
310,27427,2800,4.0,False,True,True,9500,8500,3200,2017-03-23,2018-11-12
311,91812,1200,38.0,False,True,True,15500,17300,700,2017-04-20,2018-11-22
312,56048,1300,39.0,False,True,True,12500,4500,2100,2017-10-10,2018-06-12
313,86063,2900,1.0,False,True,True,16500,2900,1000,2017-01-15,2018-08-22
314,12508,1200,26.0,False,False,True,19000,17900,3300,2017-12-29,2018-08-17
315,40531,1600,44.0,False,False,True,6500,2300,2200,2017-02-15,2018-10-07
316,22526,1600,13.0,True,False,True,8000,12700,1900,2017-08-11,2018-10-24
317,48465,800,4.0,False,False,False,16000,16700,1100,2017-04-29,2018-11-15
318,75017,1700,31.0,False,True,False,4000,10100,2400,2017-04-17,2018-11-19
319,43002,2700,21.0,True,False,False,6500,4300,1800,2017-02-18,2018-10-26
320,83950,1900,38.0,True,True,False,11000,9700,3300,2017-05-22,2018-07-13
321,35186,3300,13.0,False,False,True,7500,7700,500,2017-04-09,2018-07-23
322,44787,3000,30.0,True,True,False,12000,700,2300,2017-08-14,2018-10-13
323,13162,1100,10.0,True,True,True,15000,17300,2200,2017-05-07,2018-08-13
324,73926,3400,25.0,False,False,True,14000,12500,2000,2017-04-11,2018-02-24
325,20578,3300,25.0,True,False,False,7500,2100,900,2017-04-10,2018-02-13
326,28144,3300,1.0,False,False,False,8500,16500,1900,2017-05-21,2018-10-19
327,99158,1700,19.0,False,True,False,16500,9100,600,2017-02-17,2018-02-03
328,15566,1400,37.0,True,False,True,12500,11900,900,2017-08-31,2018-05-03
329,18969,900,22.0,True,False,False,4500,15100,800,2017-03-25,2018-01-11
330,70416,1900,6.0,False,True,False,16500,17500,2600,2017-05-25,2018-07-29
331,36483,2400,12.0,False,False,False,19500,16900,2800,2017-02-19,2018-09-12
332,94929,1500,17.0,True,True,False,15500,15900,2800,2017-07-12,2018-02-02
333,95649,2600,23.0,True,True,True,19000,15100,800,2017-03-05,2018-08-15
334,25506,3400,45.0,True,False,True,6500,9500,3400,2017-04-08,2018-09-06
335,33390,3200,38.0,False,False,True,16500,12300,3400,2017-08-27,2018-05-13
336,30677,2500,19.0,True,False,False,8000,17100,600,2017-06-05,2018-07-07
337,82207,3100,20.0,False,False,False,18000,4100,1000,2017-08-02,2018-07-13
338,52111,1300,2.0,False,True,False,12000,13500,1200,2017-11-05,2018-12-12
339,93616,500,12.0,True,False,False,6500,15100,2200,2017-04-27,2018-10-18
340,31311,1600,44.0,False,True,True,7500,15100,1300,2017-02-11,2018-08-23
341,67543,500,38.0,False,False,False,14000,8100,2500,2017-03-30,2018-11-23
